,coef,std_err,p_value,ci_low,ci_high
const,17.274831683570653,0.017279432682755554,0.0,17.24096455670115,17.308698810440156
BuildingAge,-0.025727397017761347,4.6124900429004376e-05,0.0,-0.025817800324591626,-0.025636993710931068
Area,0.0014194572531167184,4.168772509149871e-06,0.0,0.00141128659438911,0.0014276279118443267
TimeToNearestStation,-0.011321702336856998,0.00011032860251017079,0.0,-0.011537942814605778,-0.011105461859108219
Structure_LS,0.32948576311843303,0.01712808164603264,1.9250305932365745e-82,0.29591527936543915,0.3630562468714269
Structure_RC,0.9425961178089558,0.017101771345530332,0.0,0.9090772013904599,0.9761150342274517
Structure_S,0.43940213279421675,0.016981591408989687,1.4976526434800688e-147,0.4061187651482249,0.4726855004402086
Structure_SRC,1.1910347216091548,0.019473264276572297,0.0,1.1528677560654188,1.2292016871528908
Structure_W,0.0503698342247052,0.01683743145291069,0.0027758509569085544,0.01736901541070726,0.08337065303870314
CityPlanning_Category I Exclusively Medium-high Residential Zone,-0.03103948309371047,0.002397531404145372,2.4874494790810035e-38,-0.03573856678057495,-0.02634039940684599
CityPlanning_Category I Residential Zone,-0.06487825487534203,0.002216527892962365,3.266548406572385e-188,-0.06922257755878664,-0.06053393219189742
CityPlanning_Category II Exclusively Low-story Residential Zone,-0.08428968013005649,0.008503698933022732,3.7009576483431456e-23,-0.1009566538619055,-0.06762270639820747
CityPlanning_Category II Exclusively Medium-high Residential Zone,0.029046800910302404,0.003357448274497479,5.095764746277835e-18,0.02246631133302145,0.035627290487583355
CityPlanning_Category II Residential Zone,0.07094490377076695,0.004225860419308053,3.0636785778958323e-63,0.0626623545933078,0.07922745294822611
CityPlanning_Commercial Zone,0.46337472669860164,0.004123073980136814,0.0,0.4552936356036958,0.4714558177935075
CityPlanning_Exclusively Industrial Zone,-0.1764362470313676,0.023709674500255323,9.964393984285001e-14,-0.22290643902650903,-0.12996605503622616
CityPlanning_Industrial Zone,-0.10703652488857109,0.005992312614484138,2.4088118342597033e-71,-0.11878126299904102,-0.09529178677810116
CityPlanning_Neighborhood Commercial Zone,0.15390456399003444,0.0038738087150685875,0.0,0.14631202471920848,0.1614971032608604
CityPlanning_Non-divided City Planning Area,-0.6195263595723681,0.004501372609580958,0.0,-0.6283489036948801,-0.6107038154498562
CityPlanning_Outside City Planning Area,-1.0143537291138065,0.007646466552742493,0.0,-1.0293405552208685,-0.9993669030067444
CityPlanning_Quasi-city Planning Area,-0.9643923531999772,0.02699179079985254,2.565824340596051e-279,-1.0172953865481715,-0.9114893198517828
CityPlanning_Quasi-industrial Zone,-0.08645089988446475,0.003219086324538243,8.782194705889637e-159,-0.09276020453344318,-0.08014159523548632
CityPlanning_Quasi-residential Zone,0.01426263359263528,0.007112881786566734,0.044943828569149816,0.0003216162979043334,0.028203650887366226
CityPlanning_Urbanization Control Area,-0.3677782542391514,0.00418064959827556,0.0,-0.3759721916757106,-0.3595843168025922
Prefecture_Akita Prefecture,-0.9767839380174579,0.010124339472764948,0.0,-0.996627314573231,-0.9569405614616848
Prefecture_Aomori Prefecture,-0.92047686746499,0.00909156975934288,0.0,-0.9382960489239904,-0.9026576860059896
Prefecture_Chiba Prefecture,-0.13111590228053965,0.004160310440993495,7.604274432375563e-218,-0.13926997562938623,-0.12296182893169308
Prefecture_Ehime Prefecture,-0.38026768719954646,0.008845058093023815,0.0,-0.397603713798586,-0.3629316606005069
Prefecture_Fukui Prefecture,-0.6326986429154661,0.01326750828060275,0.0,-0.658702528253078,-0.6066947575778542
Prefecture_Fukuoka Prefecture,-0.26568538601706837,0.004802658542364802,0.0,-0.2750984407828938,-0.25627233125124294
Prefecture_Fukushima Prefecture,-0.5709390767035337,0.009140617616339714,0.0,-0.5888543903693078,-0.5530237630377597
Prefecture_Gifu Prefecture,-0.5294339173912774,0.007888732453284017,0.0,-0.5448955767952673,-0.5139722579872875
Prefecture_Gunma Prefecture,-0.6077050606752473,0.00769853917399517,0.0,-0.6227939474287884,-0.5926161739217063
Prefecture_Hiroshima Prefecture,-0.21282562970139426,0.0065041836145529955,1.1909750582363676e-234,-0.22557361834782955,-0.20007764105495898
Prefecture_Hokkaido,-0.6281615635075946,0.004837086033850528,0.0,-0.6376420950386213,-0.6186810319765678
Prefecture_Hyogo Prefecture,-0.11354988889692508,0.004352772523569138,6.120754597483047e-150,-0.12208118167697804,-0.10501859611687211
Prefecture_Ibaraki Prefecture,-0.6378347445910096,0.007033117919213224,0.0,-0.6516194272962399,-0.6240500618857794
Prefecture_Ishikawa Prefecture,-0.5386931260125053,0.011203245783240844,0.0,-0.560651123896886,-0.5167351281281246
Prefecture_Iwate Prefecture,-0.6647346345803313,0.011346075437942742,0.0,-0.6869725739492113,-0.6424966952114514
Prefecture_Kagawa Prefecture,-0.5484761112055258,0.009956924453807098,0.0,-0.5679913597613232,-0.5289608626497283
Prefecture_Kagoshima Prefecture,-0.5236420598171179,0.009864272740029576,0.0,-0.5429757140229855,-0.5043084056112502
Prefecture_Kanagawa Prefecture,0.2971205429276679,0.0037663668398095216,0.0,0.28973858624293153,0.3045024996124042
Prefecture_Kochi Prefecture,-0.3917852838254011,0.01282739780790592,9.737625011996234e-205,-0.4169265669301112,-0.36664400072069103
Prefecture_Kumamoto Prefecture,-0.4619673972758531,0.009877020249511564,0.0,-0.4813260361863012,-0.44260875836540503
Prefecture_Kyoto Prefecture,-0.0167766692260317,0.0049269424350588216,0.0006614677305613905,-0.02643331638513663,-0.007120022066926773
Prefecture_Mie Prefecture,-0.5502049850529294,0.00713860925691496,0.0,-0.564196427353985,-0.5362135427518737
Prefecture_Miyagi Prefecture,-0.2924074917602999,0.006461361605244751,0.0,-0.3050715506592327,-0.2797434328613671
Prefecture_Miyazaki Prefecture,-0.7172847477922327,0.009800577879874347,0.0,-0.736493562140831,-0.6980759334436345
Prefecture_Nagano Prefecture,-0.5481492968925713,0.007636465108644592,0.0,-0.5631165204940211,-0.5331820732911215
Prefecture_Nagasaki Prefecture,-0.43196843693669407,0.011632512718707074,1.5805111727879345e-301,-0.4547677840731729,-0.4091690898002152
Prefecture_Nara Prefecture,-0.3192845822407141,0.006600841859288266,0.0,-0.33222201790763517,-0.306347146573793
Prefecture_Niigata Prefecture,-0.650159379633802,0.0071607127630206905,0.0,-0.6641941440889635,-0.6361246151786405
Prefecture_Oita Prefecture,-0.594702871824707,0.010302249594363906,0.0,-0.61489494644078,-0.5745107972086341
Prefecture_Okayama Prefecture,-0.4144727013829979,0.008321768731772317,0.0,-0.43078309782899127,-0.39816230493700455
Prefecture_Okinawa Prefecture,-0.11100302154473841,0.024681076547276262,6.877024535628042e-06,-0.15937713000356013,-0.0626289130859167
Prefecture_Osaka Prefecture,-0.08026279012888211,0.003720424119429463,3.4511813801524683e-103,-0.08755470057376741,-0.07297087968399682
Prefecture_Saga Prefecture,-0.582713738092212,0.0127071163014813,0.0,-0.6076192733507442,-0.5578082028336799
Prefecture_Saitama Prefecture,-0.051116248242741275,0.0039066434099193645,4.0861015727224225e-39,-0.0587731424490937,-0.04345935403638885
Prefecture_Shiga Prefecture,-0.34087504847399763,0.00800647510507792,0.0,-0.35656747965154434,-0.3251826172964509
Prefecture_Shimane Prefecture,-0.694860140181954,0.014657144546903096,0.0,-0.7235876674699305,-0.6661326128939774
Prefecture_Shizuoka Prefecture,-0.2776791139232757,0.006621667776102528,0.0,-0.29065736771078393,-0.2647008601357675
Prefecture_Tochigi Prefecture,-0.5771781871201338,0.007700968041755081,0.0,-0.5922718343756013,-0.5620845398646663
Prefecture_Tokushima Prefecture,-0.6164585847541584,0.013779422446787768,0.0,-0.6434658052319213,-0.5894513642763954
Prefecture_Tokyo,0.5457602667960013,0.003591055278577203,0.0,0.5387219150776404,0.5527986185143622
Prefecture_Tottori Prefecture,-0.7270242950660818,0.015375944677342848,0.0,-0.7571606472650586,-0.696887942867105
Prefecture_Toyama Prefecture,-0.6982306032119617,0.009756035435138054,0.0,-0.7173521158154935,-0.6791090906084299
Prefecture_Wakayama Prefecture,-0.5784636053308508,0.009137554499867659,0.0,-0.5963729153878213,-0.5605542952738803
Prefecture_Yamagata Prefecture,-0.7887095175079275,0.0107978657266482,0.0,-0.8098729836470218,-0.7675460513688332
Prefecture_Yamaguchi Prefecture,-0.7629093457382612,0.008662517360920956,0.0,-0.7798875984308027,-0.7459310930457197
Prefecture_Yamanashi Prefecture,-0.4842270371991181,0.011796315043656967,0.0,-0.5073474315726474,-0.4611066428255888
